id_bien,type_voie,VOIE ,surface_carrez,type_local,surface_reel,nb_pieces,id_codedep_codecommune
353,RUE,ST GILLES,"36,98",Appartement,50,2,43157
354,RUE,CHARLES NUNGESSER,"51,77",Maison,51,3,44035
355,IMP,DE L HOTEL DIEU,"62,88",Maison,50,1,44109
356,BD,OCEANIDES,"67,98",Appartement,68,2,44132
357,RUE,LOUISE MICHEL,"53,25",Appartement,52,2,44198
358,RUE,GUSTAVE EIFFEL,"60,7",Appartement,60,3,45075
359,AV,DU LOIRET,"70,03",Appartement,68,4,45232
360,RUE,DE GAUCOURT,"44,39",Appartement,45,2,45234
361,RUE,DE LA HAUTE CROIX,"26,25",Appartement,26,1,45284
362,RUE,DU PRE PIGEON,"71,08",Appartement,75,3,49007
363,RUE,DE LA MADELEINE,"21,62",Appartement,20,1,49007
364,,LE CARRE DES TOILES,"39,78",Appartement,40,2,49099
365,RUE,SAINT PIERRE,"59,19",Appartement,59,2,50147
366,RUE,DES AUGUSTINS,"31,79",Appartement,30,1,51108
367,PL,CARNOT,"43,85",Appartement,44,2,51230
368,RUE,DU BOUCAU,"58,53",Appartement,56,3,54263
369,IMP,DU RAIL,"38,01",Appartement,38,2,56023
370,RUE,DE LA REPUBLIQUE,"43,84",Appartement,44,2,60342
371,RUE,DES CLIGNETTES,"64,45",Appartement,80,4,60513
372,RUE,SAINT EXUPERY,"87,68",Maison,82,4,62893
373,ALL,DE LA GRAVIERE,"54,68",Appartement,54,2,64102
374,CHE,DU LOUP,"60,77",Appartement,61,3,69089
375,RUE,DU PERRON,"104,11",Maison,102,4,69176
376,RUE,DE THIZY,"56,02",Appartement,57,3,69264
377,RUE,IMBERT COLOMES,"28,17",Appartement,54,3,69381
378,RUE,ROUX SOIGNAT,"49,13",Appartement,52,1,69383
379,RUE,EUGENE PONS,"51,01",Appartement,52,2,69384
380,PL,EDOUARD DE LA BOUSSINIERE,"20,92",Appartement,21,1,72181
381,,IMM ARCELLE 1,"30,84",Appartement,27,2,73257
382,AV,DU MONT PACCARD,"16,7",Appartement,25,2,74236
383,RUE,DE L AUTOMNE,"47,17",Appartement,47,2,74311
384,RUE,NOTRE DAME DE NAZARETH,"27,37",Appartement,26,2,75103
385,RUE,DE BRETAGNE,"26,43",Appartement,11,1,75103
386,RUE,DU TEMPLE,"34,6",Appartement,27,2,75104
387,RUE,LARREY,"27,01",Appartement,26,1,75105
388,RUE,HUYSMANS,"29,5",Appartement,29,1,75106
389,RUE,SAINT PLACIDE,"110,09",Appartement,109,5,75106
390,RUE,DE RENNES,"165,15",Appartement,163,5,75106
391,RUE,BONAPARTE,"78,83",Appartement,79,3,75106
392,RUE,DES SAINTS PERES,"48,96",Appartement,52,2,75106
393,RUE,DU FBG SAINT DENIS,"36,47",Appartement,29,2,75110
394,RUE,DES PETITS HOTELS,"49,6",Appartement,50,2,75110
395,PAS,DUBAIL,"69,08",Appartement,71,3,75110
396,BD,DE LA VILLETTE,"50,78",Appartement,48,3,75110
397,RUE,DE NEMOURS,"18,21",Appartement,23,1,75111
398,BD,RICHARD LENOIR,"130,65",Appartement,135,5,75111
399,RUE,MAILLARD,"53,8",Appartement,53,3,75111
400,RUE,MAILLARD,"31,48",Appartement,32,2,75111
401,RUE,DES BOULETS,"26,98",Appartement,23,2,75111
402,AV,DU BEL AIR,"64,38",Appartement,57,3,75112
403,RUE,LACUEE,"48,65",Appartement,50,2,75112
404,RUE,DU MOULIN DES PRES,"47,03",Appartement,51,2,75113
405,RUE,BOULARD,"52,28",Appartement,31,3,75114
406,RUE,JONQUOY,"77,97",Appartement,75,4,75114
407,RUE,JONQUOY,"54,56",Appartement,50,3,75114
408,RUE,FIRMIN GILLOT,"10,8",Appartement,12,1,75115
409,RUE,FONDARY,"55,63",Appartement,62,3,75115
410,AV,GEORGES MANDEL,"360,95",Appartement,357,8,75116
411,RUE,DUFRENOY,"30,02",Appartement,27,1,75116
412,RUE,DE L ARC DE TRIOMPHE,"50,22",Appartement,55,2,75117
413,RUE,DE TOCQUEVILLE,"28,35",Appartement,14,1,75117
414,RUE,LEGENDRE,"48,88",Appartement,50,3,75117
415,RUE,DE CHEROY,"131,25",Appartement,135,7,75117
416,RUE,NOLLET,"39,34",Appartement,42,3,75117
417,RUE,BRIDAINE,"22,84",Appartement,22,1,75117
